age_of_domain,URL_of_Anchor,Iframe,double_slash_redirecting,Page_Rank,SSLfinal_State,DNSRecord,Shortining_Service,Links_pointing_to_page,on_mouseover,popUpWidnow,having_Sub_Domain,port,Domain_registeration_length,Result,Request_URL,SFH,RightClick,Links_in_tags,having_At_Symbol,Favicon,Submitting_to_email,Redirect,Abnormal_URL,Statistical_report,HTTPS_token,Google_Index,Prefix_Suffix,web_traffic
-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,0,-1,-1,-1,1,-1,-1
-1,0,1,1,-1,1,-1,1,1,1,1,0,1,-1,-1,1,-1,1,-1,1,1,1,0,1,1,-1,1,-1,0
1,0,1,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,1
-1,0,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,1,0,1,1,1,0,1,1,-1,1,-1,1
-1,0,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,1,1,1,0,1,1,1,1,-1,0
1,0,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,0,1,1,-1,0,-1,-1,-1,1,-1,1
1,-1,1,1,-1,-1,-1,-1,0,1,1,-1,1,1,-1,-1,-1,1,0,1,1,-1,0,-1,-1,1,1,-1,-1
-1,0,1,1,-1,-1,-1,1,0,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,0,1,1,-1,1,-1,0
1,0,1,1,1,1,-1,-1,0,1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,-1,1,-1,1
1,0,1,1,-1,1,-1,-1,0,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1,-1,0
-1,0,1,1,1,1,1,1,-1,1,1,0,1,1,1,-1,-1,1,0,1,1,-1,0,-1,-1,1,1,-1,1
-1,-1,1,1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,0,-1,-1,1,1,-1,-1
1,-1,1,-1,-1,0,-1,-1,0,-1,-1,0,1,1,-1,-1,-1,1,1,1,1,1,0,1,1,-1,1,-1,-1
-1,-1,1,1,-1,-1,-1,-1,1,1,1,0,1,1,-1,-1,-1,1,-1,1,1,1,0,1,1,1,1,-1,0
1,0,1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1
1,-1,1,1,-1,0,-1,-1,0,1,1,0,1,1,-1,-1,-1,1,0,-1,1,1,0,1,1,1,1,-1,-1
1,0,1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,0
-1,0,1,1,-1,0,1,1,1,1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,0,-1,-1,1,1,-1,1
1,0,1,1,1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1
1,0,-1,1,-1,1,-1,1,0,-1,-1,-1,1,-1,1,1,-1,-1,0,1,1,-1,0,-1,-1,1,1,-1,0
-1,0,1,1,-1,1,1,-1,-1,-1,-1,0,1,-1,1,1,-1,1,0,1,1,-1,0,-1,-1,1,1,-1,1
-1,0,1,1,-1,1,1,1,0,1,1,0,1,1,1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1
1,0,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,0,1,1,1,0,1,1,-1,1,-1,0
1,0,1,1,-1,0,1,1,-1,1,1,1,1,-1,1,1,-1,1,0,1,1,1,0,1,1,1,1,-1,1
1,0,1,1,-1,1,1,-1,0,1,1,1,1,-1,1,-1,-1,1,0,-1,1,1,0,1,1,-1,1,-1,-1
-1,1,1,1,-1,1,1,1,0,1,1,0,1,-1,1,1,-1,1,0,1,1,1,0,1,1,1,1,-1,1
1,-1,1,1,-1,-1,1,1,-1,1,1,0,1,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,0
1,1,1,1,-1,1,-1,-1,0,1,1,-1,1,1,1,-1,-1,1,0,1,1,-1,0,-1,-1,1,1,1,0
-1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,1,0,1,1,1,1,1,1,1,1,1,1
-1,1,1,1,1,1,1,1,0,1,1,-1,1,-1,1,1,-1,1,0,1,1,1,0,1,1,1,1,-1,1
-1,0,1,1,-1,1,-1,1,0,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,-1,1,-1,-1
1,0,-1,1,1,1,-1,1,0,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1
1,1,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,-1,-1,1,1,1,-1
1,0,1,1,-1,1,1,1,0,1,1,-1,1,-1,1,1,-1,1,1,1,1,-1,0,-1,-1,1,1,-1,1
1,-1,1,1,-1,0,-1,1,1,1,1,0,1,1,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,1,1,-1,1
-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,1,0,1,1,1,0,1,1,-1,1,-1,-1
-1,-1,-1,1,-1,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,-1,1,0,1,-1,1,0,1,1,-1,1,-1,0
-1,-1,1,1,-1,-1,-1,1,0,-1,-1,-1,1,1,-1,-1,-1,1,0,1,-1,1,0,1,1,1,1,-1,0
1,1,1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,0,-1,-1,1,-1,1,1
-1,1,1,1,-1,-1,-1,1,0,1,1,0,1,-1,1,-1,-1,1,0,1,1,1,0,1,1,-1,1,-1,1
1,1,1,1,-1,1,-1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1,1,0,1,1,-1,1,1,1
1,0,1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,1
-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,1,1,-1,1
1,-1,1,1,-1,0,-1,1,0,-1,-1,0,1,1,-1,-1,-1,1,0,1,-1,-1,0,-1,-1,-1,1,-1,-1
-1,-1,1,1,-1,-1,1,1,1,1,1,0,1,-1,-1,1,-1,1,1,-1,1,-1,0,-1,-1,1,1,-1,1
-1,0,1,1,-1,1,1,1,0,-1,-1,0,1,-1,1,1,1,1,-1,1,-1,1,0,1,1,1,1,-1,1
1,0,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,1,1,1,1,0,1,1,-1,0,-1,-1,-1,1,1,1
-1,0,1,1,-1,-1,-1,1,0,1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,0,1,1,-1,1,-1,1
-1,-1,1,1,-1,1,-1,1,0,1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,0,1,1,1,1,-1,0
1,0,1,1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,0,-1,-1,1,-1,-1,1
1,0,1,1,-1,1,1,1,0,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,0,1,1,-1,1,-1,0
1,0,-1,1,-1,1,-1,1,0,-1,-1,1,1,-1,1,1,1,1,0,1,-1,1,0,1,1,1,-1,-1,0
1,1,1,-1,-1,1,-1,-1,0,1,1,-1,1,-1,1,1,-1,1,1,1,1,-1,0,-1,-1,-1,-1,1,1
-1,0,1,1,-1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,0,1,1,1,0,1,1,1,1,-1,1
-1,-1,1,1,-1,-1,-1,1,0,-1,-1,0,-1,1,-1,-1,-1,1,0,1,-1,-1,0,-1,-1,-1,1,-1,0
1,-1,1,1,-1,0,-1,1,0,-1,-1,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,-1,-1,1,1,-1,0
1,0,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,0,1,1,-1,1,1,1
1,0,1,1,1,1,1,1,0,-1,-1,1,-1,-1,1,1,-1,1,1,1,-1,-1,0,-1,-1,1,1,-1,1
-1,0,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,1,0,1,-1,-1,0,-1,-1,-1,1,-1,0
1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,0
-1,0,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,0,1,1,1,1,-1,0
1,0,1,1,-1,-1,-1,1,0,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,0,1,1,-1,1,-1,0
-1,0,1,1,-1,1,1,1,0,1,1,0,1,-1,1,1,1,1,0,1,1,-1,0,-1,-1,1,1,1,0
-1,0,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,0,1,1,1,1,-1,1
1,1,1,-1,-1,1,-1,1,0,-1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1
-1,1,1,1,-1,1,1,1,0,1,1,0,1,1,1,-1,-1,1,0,1,1,-1,0,-1,-1,1,1,-1,1
-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1
1,0,1,-1,-1,-1,-1,1,0,1,1,0,1,1,-1,-1,-1,1,0,1,1,1,0,1,1,1,1,-1,1
1,1,1,1,-1,1,1,1,0,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,1,0
-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,1,1,0,1,1,1,1,-1,-1
1,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1,-1,0,-1,-1,1,1,-1,1
1,0,1,-1,1,1,1,-1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,0,-1,-1,-1,1,-1,1
